booking_id,rating_text,country,rating_score,pickup_date,rating_date,number_of_passenger,vehicle,booking_departure,booking_destination
1806872,Conductor super puntual. Nos avisó con antelación vía wassaup de su llegada. Todo muy correcto.,es,5,2023-12-31 19:30:00,2024-01-01 12:18:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto Newark
1758826,,es,5,2023-12-31 19:00:00,2024-01-01 16:00:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1795072,,es,5,2023-12-31 19:00:00,2024-01-01 02:36:00,2,Limusina de 7 plazas,Aeropuerto JFK,Manhattan
1806846,,es,5,2023-12-31 19:00:00,2024-01-02 18:00:00,5,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1820792,,es,5,2023-12-31 17:50:00,2024-01-08 12:37:00,4,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1819323,,fr,5,2023-12-31 17:30:00,2024-01-01 09:32:00,5,Vehículo SUV de 6 plazas,Brooklyn,Aeropuerto Newark
1787127,,fr,5,2023-12-31 16:00:00,2024-01-01 16:03:00,5,Vehículo SUV de 6 plazas,Brooklyn,Aeropuerto JFK
1827147,,fr,5,2023-12-31 15:30:00,2023-12-31 23:21:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1823918,,es,5,2023-12-31 13:35:00,2023-12-31 23:16:00,2,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1769723,Parfait chauffeur a l'heure serviable. Enleve tout le stress du depart,fr,5,2023-12-31 13:00:00,2024-01-01 12:42:00,10,Furgoneta de 14 plazas,Manhattan,Aeropuerto JFK
1805276,Très bien. Le chauffeur est agréable et calme.,fr,5,2023-12-31 12:00:00,2023-12-31 19:02:00,4,Vehículo de 4 plazas,Manhattan,Aeropuerto Newark
1809990,,es,5,2023-12-31 11:00:00,2023-12-31 18:35:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1812593,Excelente traslado  y excelente el conductor,es,5,2023-12-31 10:00:00,2023-12-31 20:22:00,4,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1523194,,es,5,2023-12-31 07:15:00,2023-12-31 14:06:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1809783,,es,5,2023-12-30 21:30:00,2023-12-31 04:43:00,2,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1706838,,es,4,2023-12-30 21:15:00,2023-12-31 18:26:00,3,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1810773,,fr,5,2023-12-30 21:00:00,2024-01-10 18:34:00,6,Vehículo SUV de 6 plazas,Aeropuerto Newark,Manhattan
1809944,,fr,5,2023-12-30 20:30:00,2023-12-31 03:04:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto JFK
1707990,Avisamos por whatsapp mientras volamos (ya que teniamos wifi en el avión) de que el vuelo llegaba. Al recoger las maletas volvimos avisar que ya estábamos preparados. Nos hacen salir a la calle que dicen que tardan 5 minutos y tardaron 20 minutos. En la calle esperando con el bebé de seis mesos y mucho frio. El vehículo correcto y el traslado y punto final en la misma puerta del apartamento,es,2,2023-12-30 20:15:00,2024-01-05 15:42:00,8,Furgoneta de 10 plazas,Aeropuerto JFK,Manhattan
1828344,,es,5,2023-12-30 20:05:00,2023-12-31 03:57:00,3,Turismo de 3 plazas,Aeropuerto JFK,Manhattan
1815065,,es,5,2023-12-30 19:55:00,2023-12-31 12:07:00,2,Turismo de 3 plazas,Manhattan,Aeropuerto Newark
1723008,Fantástico el chófer. Puntual amable y colaborador en todo el viaje. Muy recomendable,es,5,2023-12-30 19:30:00,2024-01-01 14:54:00,5,Vehículo SUV de 6 plazas,Aeropuerto LaGuardia,Manhattan
1814469,,fr,5,2023-12-30 19:30:00,2023-12-31 02:48:00,5,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1696609,Todo perfecto,es,5,2023-12-30 19:00:00,2023-12-31 13:01:00,6,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
1723609,,es,5,2023-12-30 18:55:00,2023-12-31 12:37:00,4,Vehículo SUV de 6 plazas,Aeropuerto JFK,Manhattan
1759236,Fuimos muy agusto en el trayecto hablando con el conductor. Super cómodos lo recomendamos.,es,5,2023-12-30 18:15:00,2024-01-03 21:53:00,4,Vehículo SUV de 6 plazas,Manhattan,Aeropuerto JFK
